city,state,region,tourism_zone,latitude,longitude,tourist_arrivals_annual_m,peak_months,popularity_tier
Bharatpur,Rajasthan,North India,Heritage,27.5219,72.51,1.04,Oct|Nov|Dec|Jan|Feb,mid
Alwar,Rajasthan,North India,Heritage,26.0236,75.0713,1.18,Oct|Nov|Dec|Jan|Feb,mid
Mandawa,Rajasthan,North India,Heritage,28.4318,72.733,1.09,Oct|Nov|Dec|Jan|Feb,mid
Nawalgarh,Rajasthan,North India,Heritage,25.3273,73.2071,0.35,Oct|Nov|Dec|Jan|Feb,small
Sikar,Rajasthan,North India,Heritage,25.3155,73.1358,0.37,Oct|Nov|Dec|Jan|Feb,small
Karauli,Rajasthan,North India,Heritage,27.1818,73.2136,0.36,Oct|Nov|Dec|Jan|Feb,small
Tonk,Rajasthan,North India,Heritage,28.1339,72.4434,0.38,Oct|Nov|Dec|Jan|Feb,small
Bundi,Rajasthan,North India,Heritage,27.7333,73.6449,1.0,Oct|Nov|Dec|Jan|Feb,mid
Chittorgarh,Rajasthan,North India,Heritage,28.666,73.6317,0.98,Oct|Nov|Dec|Jan|Feb,mid
Banswara,Rajasthan,North India,Heritage,25.5682,75.471,0.36,Oct|Nov|Dec|Jan|Feb,small
Dungarpur,Rajasthan,North India,Heritage,28.1257,75.047,0.35,Oct|Nov|Dec|Jan|Feb,small
Sirohi,Rajasthan,North India,Heritage,28.7232,73.7827,0.36,Oct|Nov|Dec|Jan|Feb,small
Pali,Rajasthan,North India,Heritage,28.2059,74.6467,0.39,Oct|Nov|Dec|Jan|Feb,small
Jalore,Rajasthan,North India,Heritage,27.2985,74.9565,0.3,Oct|Nov|Dec|Jan|Feb,small
Barmer,Rajasthan,North India,Heritage,26.0404,73.4618,0.31,Oct|Nov|Dec|Jan|Feb,small
Osian,Rajasthan,North India,Heritage,26.058,72.7836,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Phalodi,Rajasthan,North India,Heritage,27.5085,73.7334,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Deogarh,Rajasthan,North India,Heritage,25.9742,73.3811,0.4,Oct|Nov|Dec|Jan|Feb,small
Kumbhalgarh,Rajasthan,North India,Heritage,27.5529,74.6129,1.01,Oct|Nov|Dec|Jan|Feb,mid
